Fichier,Taille REN,Taille PROPN,Intersection
DAUDET_petit-chose_PP,1027,606,365
DAUDET_petit-chose_Kraken-base,1910,1152,641
DAUDET_petit-chose_TesseractFra-PNG,1336,922,516
MAUPASSANT_une-vie_PP,563,448,232
MAUPASSANT_une-vie_TesseractFra-PNG,1464,840,410
MAUPASSANT_une-vie_Kraken-base,2895,1328,691
DASH_chateau-de-Pinon-V1_PP,611,359,217
DASH_chateau-de-Pinon-V1_Kraken-base,1646,895,478
DASH_chateau-de-Pinon-V1_TesseractFra-PNG,1113,681,378
NOAILLES_la-nouvelle-esperance_PP,446,330,183
NOAILLES_la-nouvelle-esperance_Kraken-base,1396,720,366
NOAILLES_la-nouvelle-esperance_TesseractFra-PNG,997,649,323
FLAUBERT_education-sentimentale_PP,1807,1227,823
FLAUBERT_education-sentimentale_TesseractFra-PNG,3014,2062,1228
FLAUBERT_education-sentimentale_Kraken-base,5543,2720,1682
